id,type,type_name,length,up_node,down_node,speed_limit,complexity_factor,flow_impact_factor,lanes,special_feature,ramp_length,ramp_speed_limit,ramp_lanes,ramp_position,entry_ramp_position,exit_ramp_position
1,1,无匝道,1.1,G001,G002,80,0.0,0.0,2,,,,,,,
2,1,无匝道,1.9,G002,G003,120,0.0,0.0,2,,,,,,,
3,1,无匝道,3.2,G003,G004,120,0.0,0.0,3,,,,,,,
4,5,特殊路段,1.9,G004,G005,120,0.6000000000000001,0.1,3,隧道,,,,,,
5,3,上游有出口匝道,4.0,G005,G006,90,0.2,-0.25,4,,0.4,50.0,1.0,0.63,,
6,4,上游有入口和出口匝道,1.4,G006,G007,110,0.5,0.2,2,,0.3,50.0,2.0,,0.34,0.87
7,1,无匝道,4.9,G007,G008,110,0.0,0.0,2,,,,,,,
8,1,无匝道,3.2,G008,G009,120,0.0,0.0,3,,,,,,,
9,2,上游有入口匝道,3.3,G009,G010,80,0.3,0.3,2,,0.5,50.0,1.0,0.4,,
10,1,无匝道,2.5,G010,G011,110,0.0,0.0,4,,,,,,,
